Identifier,ARN,Resource type,Region,AWS Account,LastReportedAt,Service,Tags,Tag:shared_costs,Tag:workspace,Tag:Product,Tag:for-use-with-amazon-emr-managed-policies,Tag:Naming,Tag:Name,Tag:Cost Center,Tag:environment,Tag:APM_functional,Tag:service,Tag:CIA,Tag:aws:elasticmapreduce:job-flow-id,Tag:aws:elasticmapreduce:instance-group-role,Tag:sagemaker:project-name,Tag:sagemaker:user-profile-arn,Tag:sagemaker:domain-arn,Tag:sagemaker:project-id,Tag:aws:servicecatalog:productArn,Tag:aws:servicecatalog:provisioningPrincipalArn,Tag:aws:servicecatalog:provisioningArtifactIdentifier,Tag:aws:servicecatalog:portfolioArn,Tag:aws:servicecatalog:provisionedProductArn,Tag:sagemaker:pipeline-step-name,Tag:sagemaker:pipeline-execution-arn,Tag:type_policy,Tag:ManagedByAmazonSageMakerResource,Tag:Description,Tag:InstanceConnectEndpointId
primary,arn:aws:athena:ap-southeast-1:954519111599:workgroup/primary,athena:workgroup,ap-southeast-1,954519111599,2024-02-23T17:32:29Z,athena,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
default.redis7,arn:aws:elasticache:us-west-1:954519111599:parametergroup:default.redis7,elasticache:parametergroup,us-west-1,954519111599,2024-02-23T17:35:37Z,elasticache,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
i-0722d8960029ff3ba,arn:aws:ec2:us-east-1:954519111599:instance/i-0722d8960029ff3ba,ec2:instance,us-east-1,954519111599,2024-02-23T17:38:43Z,ec2,13,No,mexd1ae1accmchinelops001,Mlops,true,sgti1ae1emramlopsbsit001,sgti1ae1emramlopsbsit001,1226,Development,APM,mlops,CLL,j-3HOJG8CAXW3NQ,CORE,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
i-0b1122d04f003f67f,arn:aws:ec2:us-east-1:954519111599:instance/i-0b1122d04f003f67f,ec2:instance,us-east-1,954519111599,2024-02-23T17:38:43Z,ec2,13,No,mexd1ae1accmchinelops001,Mlops,true,sgti1ae1emramlopsbsit001,sgti1ae1emramlopsbsit001,1226,Development,APM,mlops,CLL,j-3HOJG8CAXW3NQ,CORE,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
eni-08328e08fa5fd44bc,arn:aws:ec2:us-east-1:954519111599:network-interface/eni-08328e08fa5fd44bc,ec2:network-interface,us-east-1,954519111599,2024-02-23T17:38:45Z,ec2,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
default.redis6.x.cluster.on,arn:aws:elasticache:ap-south-1:954519111599:parametergroup:default.redis6.x.cluster.on,elasticache:parametergroup,ap-south-1,954519111599,2024-02-23T17:31:32Z,elasticache,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
sgtd2ae1as3mlopsout001-sp1001,arn:aws:s3:us-east-1:954519111599:accesspoint/sgtd2ae1as3mlopsout001-sp1001,s3:accesspoint,us-east-1,954519111599,2024-02-23T17:30:24Z,s3,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
default,arn:aws:elasticache:ap-northeast-2:954519111599:user:default,elasticache:user,ap-northeast-2,954519111599,2024-02-23T17:35:13Z,elasticache,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
DynatraceMonitoring_policy,arn:aws:iam::954519111599:policy/DynatraceMonitoring_policy,iam:policy,global,954519111599,2024-02-23T17:37:29Z,iam,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
eni-08e973e57f7fa77de,arn:aws:ec2:us-east-1:954519111599:network-interface/eni-08e973e57f7fa77de,ec2:network-interface,us-east-1,954519111599,2024-02-23T17:38:45Z,ec2,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
default,arn:aws:elasticache:ap-southeast-1:954519111599:user:default,elasticache:user,ap-southeast-1,954519111599,2024-02-23T17:29:27Z,elasticache,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
default.memcached1.4,arn:aws:elasticache:eu-west-2:954519111599:parametergroup:default.memcached1.4,elasticache:parametergroup,eu-west-2,954519111599,2024-02-23T17:33:52Z,elasticache,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
default.redis3.2,arn:aws:elasticache:eu-west-2:954519111599:parametergroup:default.redis3.2,elasticache:parametergroup,eu-west-2,954519111599,2024-02-23T17:33:52Z,elasticache,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
eni-0cb45c6f837580fb4,arn:aws:ec2:us-east-1:954519111599:network-interface/eni-0cb45c6f837580fb4,ec2:network-interface,us-east-1,954519111599,2024-02-23T17:38:45Z,ec2,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
DynatraceActivGate_policy,arn:aws:iam::954519111599:policy/DynatraceActivGate_policy,iam:policy,global,954519111599,2024-02-23T17:37:29Z,iam,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
SNOWFLAKE_OAUTH-3zyLdQ,arn:aws:secretsmanager:us-east-1:954519111599:secret:SNOWFLAKE_OAUTH-3zyLdQ,secretsmanager:secret,us-east-1,954519111599,2024-02-12T22:16:00Z,secretsmanager,-,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
mexd1ae1accmchinelops001_S3_SagerMaker,arn:aws:iam::954519111599:user/mexd1ae1accmchinelops001_S3_SagerMaker,iam:user,global,954519111599,2024-02-23T17:41:22Z,iam,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
default.redis5.0,arn:aws:elasticache:us-west-1:954519111599:parametergroup:default.redis5.0,elasticache:parametergroup,us-west-1,954519111599,2024-02-23T17:35:37Z,elasticache,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
pipelines-hh56vzhecbi7-na-createmodel-model-lrgwgg45sz,arn:aws:sagemaker:us-east-1:954519111599:model/pipelines-hh56vzhecbi7-na-createmodel-model-lrgwgg45sz,sagemaker:model,us-east-1,954519111599,2024-02-21T03:21:29Z,sagemaker,4,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),arn:aws:sagemaker:us-east-1:954519111599:user-profile/d-6tiqlee3zbyq/data-science-2,arn:aws:sagemaker:us-east-1:954519111599:domain/d-6tiqlee3zbyq,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),NA-CreateModel-ModeloBase-CreateModel,arn:aws:sagemaker:us-east-1:954519111599:pipeline/train-deploy/execution/hh56vzhecbi7,(not tagged),(not tagged),(not tagged),(not tagged)
eni-0590f562e464c5102,arn:aws:ec2:us-east-1:954519111599:network-interface/eni-0590f562e464c5102,ec2:network-interface,us-east-1,954519111599,2024-02-23T17:38:45Z,ec2,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
default.memorydb-redis7,arn:aws:memorydb:ap-southeast-2:954519111599:parametergroup/default.memorydb-redis7,memorydb:parametergroup,ap-southeast-2,954519111599,2024-02-23T17:40:04Z,memorydb,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
t2prj0348770-discover-emr_policy,arn:aws:iam::954519111599:policy/t2prj0348770-discover-emr_policy,iam:policy,global,954519111599,2024-02-23T17:37:29Z,iam,1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),local,(not tagged),(not tagged),(not tagged)
OrganizationsWriteDeny_policy,arn:aws:iam::954519111599:policy/OrganizationsWriteDeny_policy,iam:policy,global,954519111599,2024-02-23T17:37:29Z,iam,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
eni-0af0df662c2689e8c,arn:aws:ec2:us-east-1:954519111599:network-interface/eni-0af0df662c2689e8c,ec2:network-interface,us-east-1,954519111599,2024-02-23T17:38:45Z,ec2,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
default.redis5.0.cluster.on,arn:aws:elasticache:eu-west-2:954519111599:parametergroup:default.redis5.0.cluster.on,elasticache:parametergroup,eu-west-2,954519111599,2024-02-23T17:33:52Z,elasticache,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
d3cf5590-4eac-4ff1-82f2-1d576e12464e,arn:aws:resource-explorer-2:ap-northeast-3:954519111599:index/d3cf5590-4eac-4ff1-82f2-1d576e12464e,resource-explorer-2:index,ap-northeast-3,954519111599,2024-02-23T17:28:48Z,resource-explorer-2,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
eni-004518b0a594b3c5a,arn:aws:ec2:us-east-1:954519111599:network-interface/eni-004518b0a594b3c5a,ec2:network-interface,us-east-1,954519111599,2024-02-23T17:38:45Z,ec2,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
i-0e36843ef7ee40cf3,arn:aws:ec2:us-east-1:954519111599:instance/i-0e36843ef7ee40cf3,ec2:instance,us-east-1,954519111599,2024-02-23T15:25:59Z,ec2,13,No,mexd1ae1accmchinelops001,Mlops,true,sgtd1ae1emramlopsbsit001,sgtd1ae1emramlopsbsit001,1226,Development,APM,map-migrated,CLL,j-1DSYX2UK3DIS,MASTER,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
NetRead_policy,arn:aws:iam::954519111599:policy/NetRead_policy,iam:policy,global,954519111599,2024-02-23T17:37:29Z,iam,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
default.redis6.x.cluster.on,arn:aws:elasticache:ap-northeast-1:954519111599:parametergroup:default.redis6.x.cluster.on,elasticache:parametergroup,ap-northeast-1,954519111599,2024-02-23T17:36:28Z,elasticache,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
eni-0c06bb276bedd71ab,arn:aws:ec2:us-east-1:954519111599:network-interface/eni-0c06bb276bedd71ab,ec2:network-interface,us-east-1,954519111599,2024-02-23T17:38:45Z,ec2,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
t2prj0348770-CreateAutoMLJob_policy,arn:aws:iam::954519111599:policy/t2prj0348770-CreateAutoMLJob_policy,iam:policy,global,954519111599,2024-02-23T17:37:29Z,iam,1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),local,(not tagged),(not tagged),(not tagged)
dopt-0f290f8155664f8ff,arn:aws:ec2:eu-central-1:954519111599:dhcp-options/dopt-0f290f8155664f8ff,ec2:dhcp-options,eu-central-1,954519111599,2024-02-23T17:39:39Z,ec2,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
pipelines-esax8d5beo0x-na-createmodel-model-biyowk3dy4,arn:aws:sagemaker:us-east-1:954519111599:model/pipelines-esax8d5beo0x-na-createmodel-model-biyowk3dy4,sagemaker:model,us-east-1,954519111599,2024-02-13T20:05:50Z,sagemaker,4,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),arn:aws:sagemaker:us-east-1:954519111599:user-profile/d-6tiqlee3zbyq/data-science-1,arn:aws:sagemaker:us-east-1:954519111599:domain/d-6tiqlee3zbyq,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),NA-CreateModel-ModeloFinal-CreateModel,arn:aws:sagemaker:us-east-1:954519111599:pipeline/train-monitor-pipeline-V2/execution/esax8d5beo0x,(not tagged),(not tagged),(not tagged),(not tagged)
eni-037a5b9f198b12592,arn:aws:ec2:us-east-1:954519111599:network-interface/eni-037a5b9f198b12592,ec2:network-interface,us-east-1,954519111599,2024-02-23T17:38:45Z,ec2,1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),arn:aws:sagemaker:us-east-1:954519111599:node/d-6tiqlee3zbyq/data-science-4/ml.t3.medium-kernelgateway,(not tagged),(not tagged)
i-0e895db48f3ead059,arn:aws:ec2:us-east-1:954519111599:instance/i-0e895db48f3ead059,ec2:instance,us-east-1,954519111599,2024-02-23T17:38:43Z,ec2,1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),pythonLibraries,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
nat-037d2d5a2f789e4e4,arn:aws:ec2:us-east-1:954519111599:natgateway/nat-037d2d5a2f789e4e4,ec2:natgateway,us-east-1,954519111599,2024-02-23T17:40:29Z,ec2,1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),nat-gateway-prueba-borrar,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
default.redis2.6,arn:aws:elasticache:us-east-1:954519111599:parametergroup:default.redis2.6,elasticache:parametergroup,us-east-1,954519111599,2024-02-23T17:31:43Z,elasticache,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
pipelines-p333jiso8pag-na-createmodel-model-8rri3zvthk,arn:aws:sagemaker:us-east-1:954519111599:model/pipelines-p333jiso8pag-na-createmodel-model-8rri3zvthk,sagemaker:model,us-east-1,954519111599,2024-02-14T01:23:02Z,sagemaker,4,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),arn:aws:sagemaker:us-east-1:954519111599:user-profile/d-6tiqlee3zbyq/data-science-1,arn:aws:sagemaker:us-east-1:954519111599:domain/d-6tiqlee3zbyq,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),NA-CreateModel-ModeloBase-CreateModel,arn:aws:sagemaker:us-east-1:954519111599:pipeline/train-monitor-pipeline-V2/execution/p333jiso8pag,(not tagged),(not tagged),(not tagged),(not tagged)
eni-07487b8b7207c96b0,arn:aws:ec2:us-east-1:954519111599:network-interface/eni-07487b8b7207c96b0,ec2:network-interface,us-east-1,954519111599,2024-02-23T17:38:45Z,ec2,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
default.redis7.cluster.on,arn:aws:elasticache:us-west-1:954519111599:parametergroup:default.redis7.cluster.on,elasticache:parametergroup,us-west-1,954519111599,2024-02-23T17:35:37Z,elasticache,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
8be37efe-04ca-4c75-91d8-108e2977f64f,arn:aws:resource-explorer-2:ap-northeast-2:954519111599:index/8be37efe-04ca-4c75-91d8-108e2977f64f,resource-explorer-2:index,ap-northeast-2,954519111599,2024-02-23T17:34:43Z,resource-explorer-2,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
Product,arn:aws:ssm:us-east-1:954519111599:parameter/Product,ssm:parameter,us-east-1,954519111599,2024-02-23T17:29:03Z,ssm,2,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),AHM,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),SSM Parameter,(not tagged)
default.redis5.0.cluster.on,arn:aws:elasticache:us-west-1:954519111599:parametergroup:default.redis5.0.cluster.on,elasticache:parametergroup,us-west-1,954519111599,2024-02-23T17:35:37Z,elasticache,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
default.redis6.x.cluster.on,arn:aws:elasticache:us-west-1:954519111599:parametergroup:default.redis6.x.cluster.on,elasticache:parametergroup,us-west-1,954519111599,2024-02-23T17:35:37Z,elasticache,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
default,arn:aws:events:eu-central-1:954519111599:event-bus/default,events:event-bus,eu-central-1,954519111599,2024-02-23T17:41:01Z,events,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
default.redis4.0,arn:aws:elasticache:ap-south-1:954519111599:parametergroup:default.redis4.0,elasticache:parametergroup,ap-south-1,954519111599,2024-02-23T17:31:32Z,elasticache,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
EMR-Stack/1e8f7490-d262-11ee-816a-0e75229d7295,arn:aws:cloudformation:us-east-1:954519111599:stack/EMR-Stack/1e8f7490-d262-11ee-816a-0e75229d7295,cloudformation:stack,us-east-1,954519111599,2024-02-23T15:42:16Z,cloudformation,4,(not tagged),mexd1ae1accmchinelops001,(not tagged),(not tagged),(not tagged),Service:Mlops,(not tagged),Development,(not tagged),map-migrated,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
